bucket	ids	published	date	section	line	text
SOURCE	cdg-4075	cdg-4075:true	2026-06-24	(前言平鋪)	121	Amaranth KH（cdg-4075）細節待補 — 巴哈表格記 FUGA／幸福鴨代理、1996-08-15；既有來源僅 Fandom merge 與表格，劇情、系統、是否與 FUGA 系列哪一作對應仍待實物或日文資料查證（2026-06-24）
?	cdg-1346	cdg-1346:false	2026-06-24	(前言平鋪)	122	Amaranth 3D／亞瑪蘭斯（cdg-1346）年份 — chiuinan/既有 metadata 作 1999，巴哈表格作 1998?；metadata 暫維持 1999，正文並陳（2026-06-24）
?	cdg-4541	cdg-4541:true	2026-06-24	(前言平鋪)	123	金錢帝國黃金版台灣代理佐證 — cdg-4541 依本站作者提供題名與憶弘國際線索建檔；線上來源可佐證《金錢帝國》對應《Capitalism》、開發商為微啟軟件，以及《Capitalism Plus》版本內容，仍需包裝、目錄或雜誌廣告確認代理資訊、發行年份與中文化程度（2026-06-24）
SOURCE	cdg-1476|cdg-1477|cdg-1476	cdg-1476:true,cdg-1477:true,cdg-1476:true	2026-06-24	(前言平鋪)	124	美少女夢工場 Q 正名 — `cdg-1476` 目前 title_zh 為「美少女夢工場」，但內容與 chiuinan path 指向 Princess Maker Q；本批只處理精訊初代正本 `cdg-1477`，`cdg-1476` 待另案正名（2026-06-24）
SOURCE	cdg-2802	cdg-2802:true	2026-06-24	(前言平鋪)	125	瘋狂醫院（cdg-2802）開發實體 — 巴哈表格記「龍翔製作、精訊發行」，既有條目/registry 原記精訊；本次採表格製作／發行分工，龍翔與精訊關係待實體資料佐證（2026-06-24）
SOURCE	cdg-1896	cdg-1896:true	2026-06-24	(前言平鋪)	126	轉校生（cdg-1896）代理權傳聞 — 舊正文提到天堂鳥先代理後轉華義、且可能與辦公室遭砸事件相關，但缺可引用來源；本次自正文移除，待實體雜誌或訪談佐證（2026-06-24）
SOURCE	cdg-0195	cdg-0195:true	2026-06-24	(前言平鋪)	127	卒業旅行（cdg-0195）台灣版年份 — 既有 metadata 作 1997，巴哈表格作 1996?；本次 year 暫改 1996 並在正文保守處理，待包裝或雜誌資料確認（2026-06-24）
SOURCE	cdg-3504	cdg-3504:true	2026-06-24	(前言平鋪)	128	特勤機甲隊2加強版（cdg-3504）發行時間 — chiuinan/Fandom/既有 metadata 作 1996，巴哈表格作 1995-09-10，表格備註另提《軟體世界》92 期作 1996-11-10；metadata 暫維持 1996，正文並陳 1995-09-10 記法，待雜誌或包裝確認（2026-06
DECIDE	cdg-4543	cdg-4543:true	2026-06-24	(前言平鋪)	129	東周列國誌（cdg-4543，新建）— 使用者提供 KudGame 截圖頁建檔、genre 裁定為歷史模擬（HSG）；開發商「CP SOFT」見隱名 PC 遊戲列表，公司中文名／國別未確認（developer_region 留 null）、發行年與平台（DOS/Windows）皆無可靠來源待補；標題用「東周列國誌」（誌
SOURCE	cdg-3593|cdg-3594	cdg-3593:true,cdg-3594:true	2026-06-24	(前言平鋪)	130	鋼鐵騎士團系列原版／台版年份 — cdg-3593《鋼鐵騎士團》台灣表格作 1996-03，FM Towns 清單作 1993-12-18；cdg-3594《鋼鐵騎士團2》台灣表格作 1996-12-05，FM Towns 清單作 1995-01，Fandom 圖源另見 1994 記法。metadata 暫採台灣版年份
SOURCE	cdg-0134|cdg-0737|cdg-2318|cdg-2564|cdg-2015|cdg-0461|cdg-1430|cdg-3767|cdg-3581	cdg-0134:true,cdg-0737:true,cdg-2318:true,cdg-2564:true,cdg-2015:true,cdg-0461:true,cdg-1430:true,cdg-3767:true,cdg-3581:true	2026-06-24	(前言平鋪)	131	天堂鳥代理款台版確切發行日 — 本批多款 year 由「日版原作年」訂正為「天堂鳥台版年」（YES!HG cdg-0134→1996、武姬神傳說 cdg-0737→1995、新世紀興亡史 cdg-2318→1995、逆玉王 cdg-2564→1995、麻雀幻想曲3 cdg-2015→1996、天地無用 cdg-0461
SOURCE	cdg-0737	cdg-0737:true	2026-06-24	(前言平鋪)	132	武姬神傳說（cdg-0737）語言 — 維基中文DOS遊戲列表記「英文版」，但研究查無 GIGA《Variable Geo》官方英文 PC 版；content_language 暫留 zh，待確認天堂鳥版實際語言（2026-06-24）
?	cdg-0441	cdg-0441:true	2026-06-24	(前言平鋪)	133	天使們的午後2（cdg-0441）— 實為 JAST《天使たちの午後 コレクション2》合輯（非單一續作）；台版年 1995/1996 異說、確切日期缺一手（2026-06-24）
SOURCE	cdg-2513	cdg-2513:true	2026-06-24	(前言平鋪)	135	碰龍美戰士（cdg-2513）— 疑日商 PARSLEY 原作（亦記碰美龍戰士）、天堂鳥代理，來源僅搜尋彙整偏弱；developer 暫留天堂鳥、genre 留 null，待一手佐證（2026-06-24）
SOURCE	cdg-2046|cdg-2318	cdg-2046:true,cdg-2318:true	2026-06-24	(前言平鋪)	136	紅色誘惑（cdg-2046）／新世紀興亡史（cdg-2318）18禁存疑 — 品牌（Discovery／Fuga）為成人廠，但兩作本身：RED 未見於 ErogameScape/VNDB 且實機無成人內容、新世紀興亡史青衫中文介紹無成人跡象；暫不標 adult，待確認台版是否刪減（2026-06-24）
SOURCE	cdg-3541|cdg-3608	cdg-3541:true,cdg-3608:true	2026-06-24	(前言平鋪)	138	獨霸武林（cdg-3541）／鐵達尼號：神秘之旅（cdg-3608）publisher_tw「華彩」 — 華彩為對岸再發行商、非台灣代理；台灣發行管道待查（天堂鳥自行發行？），publisher_tw 暫留（2026-06-24）
EDIT	cdg-4109|cdg-4110|cdg-1805|cdg-1786|cdg-1784	cdg-4109:缺檔,cdg-4110:缺檔,cdg-1805:true,cdg-1786:true,cdg-1784:true	2026-06-24	(前言平鋪)	139	愛之物語系列重複 stub — cdg-4109「愛之物語2」、cdg-4110「愛之物語3」疑與 cdg-1805（戀愛白皮書＝if2）、cdg-1786（愛情方程式＝if3）重複，待 dedup/merge；本批已將 cdg-1784/1786/1805 之 series 歸「愛之物語」（2026-06-24）
SOURCE	cdg-3760|cdg-1677	cdg-3760:true,cdg-1677:true	2026-06-24	(前言平鋪)	140	魔界聖女傳（cdg-3760）／光明聖使團（cdg-1677）日文原名查無 — 未杜撰；魔界聖女傳疑與 Apple Pie《メタモルミーナ》引擎相同但屬不同作，待考（2026-06-24）
SOURCE	-	(無id)	2026-06-24	(前言平鋪)	141	天堂鳥旗下工作室／企業沿革（公司頁已補，水色小築來源）— 旗下工作室條列可惡的貓／西塔／紅蠍星（無「...」後續具名）；子公司福旭資訊、英文名 TAN TON NERW→TTN、被台灣皇統併購後轉廈門火鳳凰，細節待二次佐證（2026-06-24）
SOURCE	cdg-4390|cdg-4031	cdg-4390:true,cdg-4031:false	2026-06-24	(前言平鋪)	142	新七顆龍珠／七顆龍珠 重複或異作 — `cdg-4390`「新七顆龍珠」依巴哈表格與 Omega 索引補鴻峻／1994-03／RPG；`cdg-4031`「七顆龍珠」為 Fandom/offlinelist 空 stub，Fandom 圖像來源檔名含 New 7 Dragon Balls。兩者是否同一款待實物標題、包裝
EDIT	cdg-0269|cdg-0270|cdg-0271|cdg-3839	cdg-0269:true,cdg-0270:true,cdg-0271:true,cdg-3839:缺檔	2026-06-24	(前言平鋪)	143	3x3 EYES 系列重複 stub — `cdg-0269` 為「3x3 EYES ～三隻眼變成～」第一作正本；`cdg-0270` 為吸精公主、`cdg-0271` 為轉輪王幻夢；`cdg-3839`「3x3隻眼」疑為 Fandom/offlinelist/rwv 合併來源空 stub，待 dedup/merge（
SOURCE	cdg-4249|cdg-4557|cdg-4558|cdg-0399|cdg-3605	cdg-4249:true,cdg-4557:true,cdg-4558:true,cdg-0399:true,cdg-3605:true	2026-06-27	(前言平鋪)	144	第三波發行批次（殖民帝國 cdg-4249／大海盜黃金版 cdg-4557 新建／鐵路大亨豪華版 cdg-4558 新建）publisher_tw — 依使用者分類標「第三波」，web 查無線上佐證；殖民帝國 catalog_id 缺、兩款新建 catalog_id 待補。大海盜原版 cdg-0399 與鐵路大亨原版 
DECIDE	cdg-1049	cdg-1049:true	2026-06-27	(前言平鋪)	145	國王密使7（cdg-1049）發行商 — 使用者裁定**依第三波軟體目錄標第三波／packaging**；惟線上證據相左（catalog SCD2004＝智冠軟體世界通路、無 3WG 碼、外部來源點名智冠軟體世界代理國王密使、原資料為 foreign 英文版），待實體佐證對照（2026-06-27）
DECIDE	cdg-1297	cdg-1297:true	2026-06-27	(前言平鋪)	146	奇妙大百科2（cdg-1297）授權 — 使用者裁定第三波為正版代理，軟體世界（智冠）「珍323」為**未授權重出版**；developer 由 Sierra 訂正為 Dynamix（Sierra 為國外發行商）。release_codes 保留珍323 為事實，license_status 改 null（2026-0
SOURCE	cdg-4209|cdg-0600|cdg-4209	cdg-4209:true,cdg-0600:true,cdg-4209:true	2026-06-27	(前言平鋪)	147	幽浮 cdg-4209 重複殘樁 — 確認 = cdg-0600（X-COM: UFO Defense／UFO: Enemy Unknown, 1994 初代），cdg-4209 為 boneash@merge 未分類空殼，待正式合併／退役（不發佈，PROD 不出現）（2026-06-27）
SOURCE	cdg-2186|cdg-2187	cdg-2186:true,cdg-2187:false	2026-06-27	(前言平鋪)	148	超級俄羅斯方塊封面錯配 — cdg-2186（Super Tetris）與 cdg-2187（Super Retriss，Rogelio Bernal shareware 仿作）共用同一 rwv 封面 raw/rwv/img/超级俄罗斯方块/cover.png，兩者為不同作品，至少一張封面錯配待人工核對（2026-06
EDIT	cdg-1099|cdg-4189|cdg-4189	cdg-1099:true,cdg-4189:false,cdg-4189:false	2026-06-27	(前言平鋪)	149	巫術1 重複條目 — cdg-1099「巫術」（初代，去序號）與 cdg-4189「巫術：瘋狂城主的試練場」同為 Wizardry: Proving Grounds of the Mad Overlord，待 dedup／cdg-4189 退役（2026-06-27）
SOURCE	cdg-1051|cdg-3985|cdg-3985	cdg-1051:true,cdg-3985:缺檔,cdg-3985:缺檔	2026-06-27	(前言平鋪)	150	御封戰將重複與台灣發行商 — cdg-1051（正本，改名「御封戰將」、補完）與 cdg-3985「御封戰將」空殼重複，cdg-3985 待退役；King's Bounty 當年台灣有官方譯名與繁中手冊（遊戲內英文→packaging）但官方代理商不明、流通多為軟體世界（智冠）「貴226」版，publisher_tw 
SOURCE	cdg-1099|cdg-1102	cdg-1099:true,cdg-1102:true	2026-06-27	(前言平鋪)	151	巫術系列台灣發行歸屬 — SCD 編號為 chiuinan 來源站「合輯光碟」索引、非官方通路碼，不能當台灣發行佐證。巫術1/2/3/5（cdg-1099/1100/1101/1103）無官方台灣發行佐證、維持 foreign；巫術4（cdg-1102）智冠代理僅 chiuinan 單一來源、無智冠 SWT 碼，依使用
?	cdg-1043|cdg-1044	cdg-1043:true,cdg-1044:true	2026-06-27	(前言平鋪)	152	國王密使年份訂正 — 國王密使（cdg-1043）year 1986→1984（原版 PCjr）、國王密使2（cdg-1044）1987→1985（原版年），與系列其他代統一採原版初版年；台灣智冠合輯版年另計（2026-06-27）
SOURCE	-	(無id)	2026-06-27	(前言平鋪)	153	英傑傳系列（孔明傳/曹操傳/織田信長傳/毛利元就傳）— 台灣繁中版確切發行年未定：孔明傳日版 1996（台版約 1997）、曹操傳日版 1998（中文維基另記 1999-01-15）、毛利元就傳日版 1997-05、織田信長傳日版 1998-09；台灣第三波代理為業界通行認知、無光榮官方一手聲明。織田信長傳/毛利元就傳
SOURCE	cdg-0207|cdg-0225|cdg-0207	cdg-0207:true,cdg-0225:true,cdg-0207:true	2026-06-27	(前言平鋪)	154	三國孔明傳（cdg-0207）非重複 — 經查與 cdg-0225「三國志孔明傳」（光榮 1996）為不同作品：cdg-0207 是第三波約 2002 製作、2003 改光譜代理發行的台灣自製 SRPG（五行相生相剋戰鬥）；developer_region 留 null（chiuinan 記台灣第三波、jendow 記
EDIT	cdg-3863|cdg-3533|cdg-3533|cdg-3863	cdg-3863:true,cdg-3533:false,cdg-3533:false,cdg-3863:true	2026-06-28	(前言平鋪)	155	猴島小英雄 重複 — cdg-3863「猴島小英雄」（本批補完發佈，作正本，title 去序號符合慣例）與 cdg-3533「猴島小英雄1：猴島的秘密」（資料較全的舊 stub、智冠）同為 The Secret of Monkey Island、同掛珍069，待 dedup／cdg-3533 併入 cdg-3863（2
SOURCE	cdg-4575	cdg-4575:true	2026-06-28	(前言平鋪)	156	魔術彩球（cdg-4575，新建）X-ROCK — 軟體世界珍藏版珍077，agent 查得 abandonware 標智冠（Soft-World）自製俄羅斯方塊變體（重力消除），故暫標 native/TW/智冠/PZG；公開資料極稀、發行年（暫 null）與「智冠自製」歸屬皆待一手佐證，亦不排除為西方重包裝英文版（2
SOURCE	cdg-4581	cdg-4581:true	2026-06-28	(前言平鋪)	157	A-6入侵者（cdg-4581）開發歸屬 — Flight of the Intruder 開發商 Rowan Software(GB) vs 發行商 Spectrum HoloByte(US) 有分歧；本批採 Rowan Software/GB，待二次佐證（2026-06-28）
?	cdg-4579	cdg-4579:true	2026-06-28	(前言平鋪)	158	全球戰略（cdg-4579）發行商 — Command H.Q. 維基記 Microplay Software（MicroProse 副牌）發行、Ozark Softscape（Dani Bunten）開發；developer 採 Ozark Softscape，原廠發行商未入庫（catalog 只留台灣發行）（202
SOURCE	cdg-1147|cdg-0034	cdg-1147:true,cdg-0034:true	2026-06-28	(前言平鋪)	159	軟體世界珍藏版外文批（本批共通）— cdg-1147/2911/0964/2200/2975/1829/0290/4179/3605/3701 等智冠代理英文款，license 一律暫標 unofficial（軟體世界 budget 未授權假設），與 cdg-0034 等既有同批一致；若實為智冠正式進口則 licens
EDIT	cdg-2976|cdg-4192|cdg-4192|cdg-2976	cdg-2976:true,cdg-4192:false,cdg-4192:false,cdg-2976:true	2026-06-28	(前言平鋪)	160	火星之旅 重複 — cdg-2976「創世紀外傳2：火星之旅」（本批補完發佈，作正本，珍105）與 cdg-4192「火星之旅」（boneash 空 stub）同為 Martian Dreams，待 dedup／cdg-4192 併入 cdg-2976（2026-06-28）
EDIT	cdg-1959|cdg-1958|cdg-1958|cdg-1959	cdg-1959:true,cdg-1958:true,cdg-1958:true,cdg-1959:true	2026-06-28	(前言平鋪)	161	築城大師2（cdg-1959）genre 誤標 — 與 cdg-1958 同為 `LSG`（戀愛養成，錯）；本批已修 cdg-1958→`SLG`，cdg-1959 未在範圍未動，待一併訂正為 SLG（2026-06-28）
SOURCE	cdg-1363	cdg-1363:true	2026-06-28	(前言平鋪)	162	陸軍棋（cdg-1363）歸屬存疑 — 智冠/TW/native/1991 主要靠 chiuinan＋社群整理（巴哈國產總表/中文DOS列表），無強一手佐證；軟體世界珍藏版珍115（softworld scan 確證），developer 智冠待二次佐證（2026-06-28）
SOURCE	cdg-4586	cdg-4586:true	2026-06-28	(前言平鋪)	163	快快樂樂學打字（cdg-4586）— Dvorak on Typing 開發商 Park Place Productions／Presage Software、發行 Interplay（非清單可能暗示的 Software Toolworks）；平台各源不一（DOS/Win/Mac/Amiga）、年份 1991 存疑；珍
CLOSE	cdg-4585	cdg-4585:true	2026-06-28	(前言平鋪)	164	妙賊奇弗（cdg-4585）開發商更正 — 清單若標 New World Computing 有誤，實為 Naughty Dog 首作、Electronic Arts 發行（已採）；珍106（2026-06-28）
?	cdg-4584	cdg-4584:true	2026-06-28	(前言平鋪)	165	F-29/F-14（cdg-4584/4587）同名作辨識 — F-29 Retaliator 採 Digital Image Design(GB)/Ocean 發行、原版 1989 Amiga（DOS 1991）；F-14 Tomcat 同名遊戲多款，本批指 Dynamix/Activision 1990 DOS 版
?	cdg-4230|cdg-3763	cdg-4230:true,cdg-3763:true	2026-06-28	(前言平鋪)	166	幽靈騎士(cdg-4230)/魔眼殺機(cdg-3763) 已掛 adnd 標籤 — 兩款 AD&D 授權作已加 tags:[adnd]、納入「龍與地下城」專題；魔眼殺機 developer 由 SSI 訂正為 Westwood Associates（SSI 為發行商）（2026-06-28）
?	cdg-0034	cdg-0034:true	2026-06-28	(前言平鋪)	167	新A-10坦克殺手（A-10 Tank Killer 1.5, 珍119）不另立條目 — 已由 cdg-0034「A-10坦克殺手」涵蓋（含 1.5 版，release_codes 珍028＋珍119、alias 新A-10坦克殺手），本批使用者列出但無需新建（2026-06-28）
?	cdg-4590	cdg-4590:true	2026-06-28	(前言平鋪)	168	印度王（cdg-4590）僅英國發行 — Champion of the Raj（Level 9 Computing/PSS, 1991）查無美國等地發行，僅 Amiga/ST/PC 英國版；台灣軟體世界珍藏版珍121 收錄（2026-06-28）
SOURCE	cdg-3954	cdg-3954:true	2026-06-28	(前言平鋪)	169	Ｄ計劃（cdg-3954）developer_region 存疑 — D/Generation 設計者 Robert Cook 個人國籍未確證，部分資料視為英國團隊；暫依發行商 Mindscape 標 US，待查（2026-06-28）
?	cdg-4589	cdg-4589:true	2026-06-28	(前言平鋪)	170	魔獸紀元（cdg-4589）開發實況 — Tunnels & Trolls: Crusaders of Khazan 為美日合作：New World Computing（US）設計監督、程式外包日本 Logical Design Works；developer 主欄維持 New World Computing/US（2
?	cdg-3965	cdg-3965:true	2026-06-28	(前言平鋪)	171	艾薇拉（cdg-3965）genre — Elvira 為恐怖 RPG/冒險混血，本批採 RPG（依 CGW 1991 RPG 年度獎定位），若偏圖形冒險操作面亦可 ADV（2026-06-28）
SOURCE	cdg-4595|cdg-4015	cdg-4595:true,cdg-4015:true	2026-06-28	(前言平鋪)	172	天生好手2（cdg-4595）開發商存疑 — Earl Weaver Baseball II：Internet Archive 等列 Mirage Graphics、維基僅標 EA 發行未列開發商；本批 developer 暫採 Electronic Arts，待 MobyGames credits 核實。初代天生好手
CLOSE	cdg-4597|cdg-1938	cdg-4597:true,cdg-1938:true	2026-06-28	(前言平鋪)	173	幻影法師（cdg-4597）genre/developer — Shadow Sorcerer：部分來源把歐版代理 U.S. Gold 誤列 developer，實為 SSI（已採）；genre 即時戰術 AD&D 介於 SRPG/SLG，本批採 SRPG。已掛 adnd 標籤（與異域之門 cdg-1938 同）（20
CLOSE	cdg-4010	cdg-4010:true	2026-06-28	(前言平鋪)	174	納粹飛行祕史（cdg-4010）developer — Secret Weapons of the Luftwaffe 1991 年掛 Lucasfilm Games（已採），首席 Lawrence Holland 團隊後獨立為 Totally Games；維基有時標 Totally Games（2026-06-28）
?	cdg-4598|cdg-3918	cdg-4598:true,cdg-3918:true	2026-06-28	(前言平鋪)	175	小人物狂想曲2（cdg-4598）已標 adult:true — Les Manley: Lost in L.A. 為成人喜劇冒險（與 Leisure Suit Larry 並列）；前作小人物狂想曲＝cdg-3918（珍060）（2026-06-28）
?	cdg-3971	cdg-3971:true	2026-06-28	(前言平鋪)	176	艾薇拉2（cdg-3971）年份 — Elvira II 維基 infobox 作 1992，MobyGames/IA/CRPG Addict 多數作 1991，採 1991（2026-06-28）
?	cdg-1938|cdg-2393	cdg-1938:true,cdg-2393:true	2026-06-28	(前言平鋪)	177	異域之門（cdg-1938）developer — Gateway to the Savage Frontier 開發商 Beyond Software（後改名 Stormfront Studios），MobyGames 多標 Stormfront；本批採 Beyond Software，與明星職棒 cdg-2393 
EDIT	cdg-2969|cdg-4002|cdg-2969|cdg-4002	cdg-2969:true,cdg-4002:false,cdg-2969:true,cdg-4002:false	2026-06-28	(前言平鋪)	178	創世紀7黑月之門 重複 — cdg-2969「創世紀7：黑月之門」（本批補完發佈，Origin/智冠/含 chiuinan，作正本）與 cdg-4002「創世紀 VII：黑月之門」（boneash 空 stub、dev null、原掛 珍160）同為 Ultima VII；本批把 珍160 補到 cdg-2969，cd
SOURCE	cdg-2417|cdg-2417|cdg-2418	cdg-2417:true,cdg-2417:true,cdg-2418:false	2026-06-28	(前言平鋪)	179	星際爭霸戰 珍161 誤掛 8 筆 — softworld scan 把 珍161 同時掛在所有同名「星際爭霸戰」條目（cdg-2417~2425）；實際 珍161＝cdg-2417（Star Trek: 25th Anniversary, Interplay, 本批補完）；cdg-2418~2425（克林貢/博格/新
CLOSE	cdg-4600	cdg-4600:true	2026-06-28	(前言平鋪)	180	攻佔比佛利山莊（cdg-4600）發行商 — The Taking of Beverly Hills 實為 Off The Wall Productions 開發、Capstone Software 發行（已採），清單標 EA 不予採信（查無 EA 版）（2026-06-28）
?	cdg-3048	cdg-3048:true	2026-06-28	(前言平鋪)	181	捍衛雄鷹3.0（cdg-3048）developer — Falcon 3.0 開發掛名 Sphere, Inc.，Spectrum HoloByte 為其發行品牌（同一公司，後改名 Spectrum HoloByte）；developer 維持 Sphere（2026-06-28）
?	cdg-2268|cdg-1292	cdg-2268:true,cdg-1292:true	2026-06-28	(前言平鋪)	182	黑暗之池(cdg-2268) 已掛 adnd 標籤 — Pools of Darkness 為 Pool of Radiance 系列完結 Gold Box AD&D 作；本批另確認亞特蘭提斯之謎 cdg-1292 早已完整發佈（珍166），未重做（2026-06-28）
?	cdg-4603	cdg-4603:true	2026-06-28	(前言平鋪)	183	天際寒星（cdg-4603）年份 — Planet's Edge：MobyGames/實體包裝/IA 作 1991、維基作 1992，採 1991（2026-06-28）
?	cdg-1029	cdg-1029:true	2026-06-28	(前言平鋪)	184	四川省2（cdg-1029）— 智冠台灣自製麻將消除（含 18 禁女郎圖，adult:true 沿用既有），native/zh/PZG、軟體世界珍153；玩法描述屬一般四川省麻將通則、無單獨佐證（2026-06-28）
?	cdg-4607|cdg-3429|cdg-4179	cdg-4607:true,cdg-3429:true,cdg-4179:true	2026-06-28	(前言平鋪)	185	新英雄傳奇1（cdg-4607）為 VGA 重製版 — Quest for Glory I (Remake, 珍174)，與 cdg-3429「英雄傳奇」EGA 原作（Hero's Quest 1989, 珍036）是不同產品；本批新建並交叉連結。series 暫填「英雄傳奇」與烈火神兵 cdg-4179 一致（202
CLOSE	cdg-4606	cdg-4606:true	2026-06-28	(前言平鋪)	186	美國鼠譚（cdg-4606）developer — An American Tail DOS 版實為 Manley & Associates 開發、Capstone Software 發行（已採），非清單假設的 Hi-Tech Expressions（2026-06-28）
SOURCE	cdg-4608	cdg-4608:true	2026-06-28	(前言平鋪)	187	畫面狩獵者（cdg-4608）GETCAP — 為螢幕擷取工具軟體（非遊戲），西文資料庫查無；developer/year/平台皆 null 待考；軟體世界珍178、續作 GETCAP II 珍217；疑為台灣本地或附帶工具（2026-06-28）
SOURCE	cdg-4610	cdg-4610:true	2026-06-28	(前言平鋪)	188	香港麻將（cdg-4610）developer_region — Nine Dragons Software 國別未確認（EA 發行推測 US，另有澳洲說）；暫採 US 待查（2026-06-28）
?	cdg-4611	cdg-4611:true	2026-06-28	(前言平鋪)	189	357戰鬥大隊（cdg-4611）— Heroes of the 357th 開發 Midnight Software（加拿大 CA）、EA 發行；year MobyGames 標 1992、維基 1991，採 1991（2026-06-28）
?	cdg-4228|cdg-4255|cdg-3997	cdg-4228:true,cdg-4255:true,cdg-3997:true	2026-06-28	(前言平鋪)	190	瑪催斯計劃(cdg-4228)/異域寶藏(cdg-4255)/克萊恩黑暗之后(cdg-3997) 標籤 — 異域寶藏、克萊恩黑暗之后為 AD&D 已掛 adnd；瑪催斯計劃（Buck Rogers II）雖用 Gold Box 引擎但屬 TSR Buck Rogers 授權、非龍與地下城，故不掛 adnd（2026-0
EDIT	cdg-3429|cdg-4179|cdg-3429|cdg-4179|cdg-4183|cdg-3430|cdg-3431|cdg-3432	cdg-3429:true,cdg-4179:true,cdg-3429:true,cdg-4179:true,cdg-4183:true,cdg-3430:缺檔,cdg-3431:缺檔,cdg-3432:true	2026-06-28	(前言平鋪)	191	英雄傳奇（Quest for Glory）系列雙重複組待 dedup — 兩套並存：cdg-3429~3433（英雄傳奇1-5，帶 SWT catalog_id 的「典藏組」）與 cdg-4179/4183（boneash budget 組）。本批與前批已發佈 cdg-3429(QFG1,珍036)＋cdg-4179(
SOURCE	cdg-3942|cdg-3728	cdg-3942:true,cdg-3728:false	2026-06-28	(前言平鋪)	192	魔法門外傳：星雲之謎 重複疑慮 — cdg-3942（本批補完中文版，珍193）與 cdg-3728「魔法門4」同為 Clouds of Xeen＝Might & Magic IV（chiuinan 頁標題即「魔法門4／魔法門外傳1：星雲之謎」）；「外傳」為中文俗稱、實為正傳第4作，兩條目疑重複待釐清（2026-06-
EDIT	cdg-3764|cdg-3942|cdg-3757	cdg-3764:true,cdg-3942:true,cdg-3757:true	2026-06-28	(前言平鋪)	193	三款官方中文版（localized）— 魔眼殺機2隱月傳奇 cdg-3764（珍187）、魔法門外傳星雲之謎 cdg-3942（珍193）、魔界召喚 cdg-3757（珍198）為智冠官方中文化（content_language zh、localized），與其他英文 packaging 款不同；license 暫沿用
SOURCE	cdg-2161	cdg-2161:true	2026-06-28	(前言平鋪)	194	超人戰記（cdg-2161）為台灣自製 — Heroic Poetry: Super Mars 實為智冠 1992 原生中文 RPG（native/TW/zh），非西方代理；雖列於珍藏版（珍188），歸類與其他款不同。發行年 1992/1993 兩說（2026-06-28）
?	cdg-4614|cdg-3868|cdg-4431|cdg-4592|cdg-4613	cdg-4614:true,cdg-3868:true,cdg-4431:true,cdg-4592:true,cdg-4613:true	2026-06-28	(前言平鋪)	195	新警察故事（cdg-4614）為 VGA 重製 — Police Quest 1 的 1992 VGA 重製版（珍196），與原版 1987 EGA 不同；catalog 另有 cdg-3868「警察故事」（PQ1 原版,貴008）、cdg-4431 警察故事2、cdg-4592 警察故事3。夢幻勇士 cdg-4613
SOURCE	cdg-0401	cdg-0401:true	2026-06-28	(前言平鋪)	196	大滿貫橋牌2（cdg-0401）— Grand Slam Bridge II 開發 Presage Software（EA 發行）；catalog_id SWT97 疑為 SWT197 之誤植待查（2026-06-28）
EDIT	cdg-2970|cdg-4194|cdg-2969|cdg-4194	cdg-2970:true,cdg-4194:false,cdg-2969:true,cdg-4194:false	2026-06-28	(前言平鋪)	197	巨蛇之島 重複 — cdg-2970「創世紀7第二部：巨蛇之島」（本批補完發佈，Origin/智冠/含 chiuinan，作正本，珍216）與 cdg-4194「創世紀 VII第二部：巨蛇之島」（boneash 空 stub）同為 Ultima VII Part 2；同創世紀7（cdg-2969/4002）模式，cdg
SOURCE	cdg-1381	cdg-1381:true	2026-06-28	(前言平鋪)	198	勇士傳奇（cdg-1381）— Legends of Valour 開發 Synthetic Dimensions（GB，已訂正 dev SSI 誤植）、U.S. Gold 發行；珍藏版標「中文版」但國際來源無中文化紀錄，中文版應為智冠在地化（content_language zh/localized），待台灣端佐證（
SOURCE	cdg-4616|cdg-4608	cdg-4616:true,cdg-4608:true	2026-06-28	(前言平鋪)	199	雀之塔（cdg-4616）資料不足 — a Tower Of MahJong 公開資料庫查無；麻將接龍類暫標 PZG，dev/year/region 皆 null 待考（與 GETCAP cdg-4608/4624 同屬難考據的珍藏版收錄品）（2026-06-28）
?	cdg-4624|cdg-4608	cdg-4624:true,cdg-4608:true	2026-06-28	(前言平鋪)	200	畫面狩獵者2（cdg-4624）GETCAP II — 螢幕擷取工具（非遊戲，珍217），同初代 cdg-4608 難考據，ETC＋多欄 null（2026-06-28）
?	cdg-2394	cdg-2394:true	2026-06-28	(前言平鋪)	201	明星職棒2（cdg-2394）年份 — Tony La Russa Baseball II 多源記 1993 年 3 月（採 1993）；清單標 1992 疑混淆到 1992 Players Expansion Disk。本批補上 release_codes 珍211＋series（2026-06-28）
?	cdg-4620|cdg-4623|cdg-4615	cdg-4620:true,cdg-4623:true,cdg-4615:true	2026-06-28	(前言平鋪)	202	本批 3 款資料片（expansion）— 紅爵士資料片(cdg-4620,珍210)、太平洋空戰英雄資料片(cdg-4623,珍215)皆 Dynamix；連同前批狂島浴血資料片(cdg-4615,珍200)，均須本體才能玩，已各自 cross-link 本體並標明資料片性質（2026-06-28）
